tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
TOR,23,25,3.0,2016 NHL Playoff,1,3,2,16.0,18.0,6,Toronto Maple Leafs,0.3333333333333333,2.6666666666666665,3.0
WSH,52,49,10.0,2016 NHL Playoff,5,3,6,32.0,34.0,12,Washington Capitals,0.5,2.6666666666666665,2.8333333333333335
ANA,367,337,51.0,2016 NHL Regular Season,21,2,46,233.0,210.0,82,Anaheim Ducks,0.5609756097560976,2.841463414634146,2.5609756097560976
ARI,321,284,27.0,2016 NHL Regular Season,43,2,29,191.0,245.0,78,Arizona Coyotes,0.3717948717948718,2.448717948717949,3.141025641025641
BOS,343,323,62.0,2016 NHL Regular Season,20,2,44,238.0,215.0,82,Boston Bruins,0.5365853658536586,2.902439024390244,2.6219512195121952
BUF,286,288,23.0,2016 NHL Regular Season,17,2,31,200.0,237.0,81,Buffalo Sabres,0.38271604938271603,2.4691358024691357,2.925925925925926
CAR,224,258,57.0,2016 NHL Regular Season,66,2,35,219.0,243.0,82,Carolina Hurricanes,0.4268292682926829,2.6707317073170733,2.9634146341463414
CBJ,287,284,59.0,2016 NHL Regular Season,52,2,47,240.0,188.0,80,Columbus Blue Jackets,0.5875,3.0,2.35
CGY,363,337,58.0,2016 NHL Regular Season,11,2,44,223.0,217.0,81,Calgary Flames,0.5432098765432098,2.753086419753086,2.6790123456790123
CHI,251,269,46.0,2016 NHL Regular Season,6,2,50,248.0,215.0,82,Chicago Blackhawks,0.6097560975609756,3.024390243902439,2.6219512195121952
COL,327,290,36.0,2016 NHL Regular Season,22,2,22,165.0,275.0,81,Colorado Avalanche,0.2716049382716049,2.037037037037037,3.3950617283950617
DAL,312,320,56.0,2016 NHL Regular Season,46,2,33,225.0,265.0,82,Dallas Stars,0.4024390243902439,2.7439024390243905,3.231707317073171
DET,302,322,46.0,2016 NHL Regular Season,18,2,33,213.0,250.0,82,Detroit Red Wings,0.4024390243902439,2.597560975609756,3.048780487804878
EDM,289,310,55.0,2016 NHL Regular Season,10,2,46,245.0,211.0,80,Edmonton Oilers,0.575,3.0625,2.6375
FLA,327,340,46.0,2016 NHL Regular Season,45,2,32,206.0,232.0,79,Florida Panthers,0.4050632911392405,2.607594936708861,2.9367088607594938
LAK,292,293,52.0,2016 NHL Regular Season,41,2,37,197.0,204.0,80,Los Angeles Kings,0.4625,2.4625,2.55
MIN,275,282,50.0,2016 NHL Regular Season,35,2,49,271.0,213.0,82,Minnesota Wild,0.5975609756097561,3.3048780487804876,2.597560975609756
MTL,307,286,50.0,2016 NHL Regular Season,2,2,47,231.0,203.0,82,Montréal Canadiens,0.573170731707317,2.817073170731707,2.475609756097561
NJD,328,318,53.0,2016 NHL Regular Season,29,2,28,186.0,245.0,82,New Jersey Devils,0.34146341463414637,2.268292682926829,2.9878048780487805
NSH,317,333,50.0,2016 NHL Regular Season,19,2,40,234.0,224.0,81,Nashville Predators,0.49382716049382713,2.888888888888889,2.765432098765432
NYI,267,269,32.0,2016 NHL Regular Season,51,2,39,235.0,238.0,79,New York Islanders,0.4936708860759494,2.9746835443037973,3.0126582278481013
NYR,264,286,55.0,2016 NHL Regular Season,28,2,48,258.0,221.0,81,New York Rangers,0.5925925925925926,3.185185185185185,2.728395061728395
OTT,334,343,51.0,2016 NHL Regular Season,32,2,43,203.0,207.0,80,Ottawa Senators,0.5375,2.5375,2.5875
PHI,317,348,65.0,2016 NHL Regular Season,14,2,38,218.0,238.0,81,Philadelphia Flyers,0.4691358024691358,2.691358024691358,2.9382716049382718
PIT,294,298,32.0,2016 NHL Regular Season,8,2,45,270.0,227.0,79,Pittsburgh Penguins,0.569620253164557,3.4177215189873418,2.8734177215189876
SJS,253,280,44.0,2016 NHL Regular Season,16,2,44,212.0,190.0,79,San Jose Sharks,0.5569620253164557,2.6835443037974684,2.4050632911392404
STL,311,289,56.0,2016 NHL Regular Season,7,2,46,236.0,217.0,81,St. Louis Blues,0.5679012345679012,2.9135802469135803,2.6790123456790123
TBL,353,358,69.0,2016 NHL Regular Season,25,2,42,240.0,233.0,82,Tampa Bay Lightning,0.5121951219512195,2.926829268292683,2.841463414634146
TOR,321,321,69.0,2016 NHL Regular Season,1,2,40,255.0,246.0,82,Toronto Maple Leafs,0.4878048780487805,3.1097560975609757,3.0
VAN,255,259,36.0,2016 NHL Regular Season,53,2,29,178.0,238.0,80,Vancouver Canucks,0.3625,2.225,2.975
WPG,332,317,49.0,2016 NHL Regular Season,4,2,40,245.0,247.0,80,Winnipeg Jets,0.5,3.0625,3.0875
WSH,329,306,67.0,2016 NHL Regular Season,5,2,54,265.0,186.0,81,Washington Capitals,0.6666666666666666,3.271604938271605,2.2962962962962963
ANA,24,15,2.0,2017 NHL Playoff,21,3,0,4.0,16.0,4,Anaheim Ducks,0.0,1.0,4.0
BOS,45,45,12.0,2017 NHL Playoff,20,3,5,41.0,37.0,12,Boston Bruins,0.4166666666666667,3.4166666666666665,3.0833333333333335
CBJ,28,26,4.0,2017 NHL Playoff,52,3,2,18.0,24.0,6,Columbus Blue Jackets,0.3333333333333333,3.0,4.0
COL,31,29,2.0,2017 NHL Playoff,22,3,2,15.0,22.0,6,Colorado Avalanche,0.3333333333333333,2.5,3.6666666666666665
LAK,13,14,1.0,2017 NHL Playoff,41,3,0,3.0,7.0,4,Los Angeles Kings,0.0,0.75,1.75
MIN,18,17,2.0,2017 NHL Playoff,35,3,1,8.0,12.0,4,Minnesota Wild,0.25,2.0,3.0
NJD,24,24,3.0,2017 NHL Playoff,29,3,1,12.0,18.0,5,New Jersey Devils,0.2,2.4,3.6
NSH,52,53,8.0,2017 NHL Playoff,19,3,7,41.0,42.0,13,Nashville Predators,0.5384615384615384,3.1538461538461537,3.230769230769231
PHI,34,29,2.0,2017 NHL Playoff,14,3,2,15.0,28.0,6,Philadelphia Flyers,0.3333333333333333,2.5,4.666666666666667
PIT,49,58,10.0,2017 NHL Playoff,8,3,6,42.0,34.0,12,Pittsburgh Penguins,0.5,3.5,2.8333333333333335
SJS,51,57,11.0,2017 NHL Playoff,16,3,6,30.0,26.0,10,San Jose Sharks,0.6,3.0,2.6
TBL,67,73,18.0,2017 NHL Playoff,25,3,11,50.0,48.0,17,Tampa Bay Lightning,0.6470588235294118,2.9411764705882355,2.823529411764706
TOR,26,21,4.0,2017 NHL Playoff,1,3,3,20.0,28.0,7,Toronto Maple Leafs,0.42857142857142855,2.857142857142857,4.0
VGK,93,84,12.0,2017 NHL Playoff,59,3,13,57.0,47.0,20,Vegas Golden Knights,0.65,2.85,2.35
WPG,54,62,12.0,2017 NHL Playoff,4,3,8,49.0,41.0,16,Winnipeg Jets,0.5,3.0625,2.5625
WSH,95,97,22.0,2017 NHL Playoff,5,3,16,86.0,61.0,24,Washington Capitals,0.6666666666666666,3.5833333333333335,2.5416666666666665
ANA,317,260,39.0,2017 NHL Regular Season,21,2,43,234.0,213.0,78,Anaheim Ducks,0.5512820512820513,3.0,2.730769230769231
ARI,263,291,47.0,2017 NHL Regular Season,43,2,28,204.0,251.0,79,Arizona Coyotes,0.35443037974683544,2.5822784810126582,3.1772151898734178
BOS,308,319,72.0,2017 NHL Regular Season,20,2,50,274.0,217.0,82,Boston Bruins,0.6097560975609756,3.341463414634146,2.6463414634146343
BUF,257,278,16.0,2017 NHL Regular Season,17,2,21,182.0,247.0,76,Buffalo Sabres,0.27631578947368424,2.3947368421052633,3.25
CAR,218,255,51.0,2017 NHL Regular Season,66,2,35,227.0,248.0,80,Carolina Hurricanes,0.4375,2.8375,3.1
CBJ,246,268,45.0,2017 NHL Regular Season,52,2,44,242.0,232.0,81,Columbus Blue Jackets,0.5432098765432098,2.9876543209876543,2.8641975308641974
CGY,353,350,47.0,2017 NHL Regular Season,11,2,37,223.0,255.0,82,Calgary Flames,0.45121951219512196,2.7195121951219514,3.1097560975609757
CHI,268,303,49.0,2017 NHL Regular Season,6,2,33,225.0,248.0,80,Chicago Blackhawks,0.4125,2.8125,3.1
COL,305,330,67.0,2017 NHL Regular Season,22,2,42,251.0,228.0,80,Colorado Avalanche,0.525,3.1375,2.85
DAL,323,304,56.0,2017 NHL Regular Season,46,2,39,226.0,223.0,79,Dallas Stars,0.4936708860759494,2.8607594936708862,2.8227848101265822
DET,293,278,48.0,2017 NHL Regular Season,18,2,29,212.0,249.0,79,Detroit Red Wings,0.3670886075949367,2.6835443037974684,3.151898734177215
EDM,289,255,28.0,2017 NHL Regular Season,10,2,35,231.0,263.0,80,Edmonton Oilers,0.4375,2.8875,3.2875
FLA,307,328,55.0,2017 NHL Regular Season,45,2,40,237.0,240.0,78,Florida Panthers,0.5128205128205128,3.0384615384615383,3.076923076923077
LAK,313,289,53.0,2017 NHL Regular Season,41,2,45,242.0,205.0,82,Los Angeles Kings,0.5487804878048781,2.951219512195122,2.5
MIN,300,270,51.0,2017 NHL Regular Season,35,2,43,248.0,230.0,79,Minnesota Wild,0.5443037974683544,3.1392405063291138,2.911392405063291
MTL,300,278,53.0,2017 NHL Regular Season,2,2,27,205.0,258.0,79,Montréal Canadiens,0.34177215189873417,2.5949367088607596,3.2658227848101267
NJD,294,289,52.0,2017 NHL Regular Season,29,2,42,240.0,242.0,80,New Jersey Devils,0.525,3.0,3.025
NSH,365,334,58.0,2017 NHL Regular Season,19,2,52,268.0,215.0,81,Nashville Predators,0.6419753086419753,3.308641975308642,2.654320987654321
NYI,273,282,62.0,2017 NHL Regular Season,51,2,34,261.0,293.0,81,New York Islanders,0.41975308641975306,3.2222222222222223,3.617283950617284
NYR,285,278,55.0,2017 NHL Regular Season,28,2,32,234.0,268.0,80,New York Rangers,0.4,2.925,3.35
OTT,276,287,46.0,2017 NHL Regular Season,32,2,25,220.0,295.0,80,Ottawa Senators,0.3125,2.75,3.6875
PHI,280,321,59.0,2017 NHL Regular Season,14,2,42,251.0,244.0,81,Philadelphia Flyers,0.5185185185185185,3.0987654320987654,3.0123456790123457
PIT,326,317,47.0,2017 NHL Regular Season,8,2,44,271.0,249.0,82,Pittsburgh Penguins,0.5365853658536586,3.3048780487804876,3.0365853658536586
SJS,262,287,55.0,2017 NHL Regular Season,16,2,43,257.0,235.0,80,San Jose Sharks,0.5375,3.2125,2.9375
STL,259,281,43.0,2017 NHL Regular Season,7,2,42,223.0,215.0,79,St. Louis Blues,0.5316455696202531,2.8227848101265822,2.721518987341772
TBL,319,322,72.0,2017 NHL Regular Season,25,2,54,293.0,226.0,80,Tampa Bay Lightning,0.675,3.6625,2.825
TOR,256,245,58.0,2017 NHL Regular Season,1,2,47,268.0,232.0,79,Toronto Maple Leafs,0.5949367088607594,3.392405063291139,2.9367088607594938
VAN,299,272,63.0,2017 NHL Regular Season,53,2,30,219.0,268.0,81,Vancouver Canucks,0.37037037037037035,2.7037037037037037,3.308641975308642
VGK,257,273,64.0,2017 NHL Regular Season,59,2,50,269.0,223.0,81,Vegas Golden Knights,0.6172839506172839,3.3209876543209877,2.753086419753086
WPG,307,304,69.0,2017 NHL Regular Season,4,2,51,274.0,214.0,80,Winnipeg Jets,0.6375,3.425,2.675
WSH,327,297,67.0,2017 NHL Regular Season,5,2,48,255.0,240.0,81,Washington Capitals,0.5925925925925926,3.1481481481481484,2.962962962962963
